City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Mumbai,06-01-2022,409,530,95.2,82.2,203.6,13.6,7.54,59.2,187.8,14.56,29.22,2.52,105.8,Very Poor
Chennai,06-01-2022,160.1,180.2,23,18.7,46.8,8.3,7.58,17.9,7,3.95,6.38,5.66,388.7,Very Poor
Kolkata,06-01-2022,190.6,214.5,140.4,133.1,207,24.3,6.15,85,117.7,9.77,27.5,8.94,29.4,Very Poor
Bangalore,06-01-2022,425.2,577.5,74.9,144.1,76.5,46.1,5.2,88.1,76.5,13.02,2.92,3.22,155.3,Poor
Delhi,07-01-2022,319.7,305,31.9,37.5,203.6,35,6.4,54.3,108.6,14.36,5.59,9.95,195.2,Poor
Mumbai,07-01-2022,2.4,192.6,160.7,18.4,182.7,15.8,3.63,19.9,75.3,0.67,27.51,6.42,125.3,Moderate
Chennai,07-01-2022,254,370.4,110.6,12.9,26.6,42.6,7.39,21.2,192.4,12.48,3.61,5.64,329.4,Severe
Kolkata,07-01-2022,374,435.1,199,96.6,27.5,1.9,5.84,4.6,53,16.13,23.45,7.96,155.2,Severe
Bangalore,07-01-2022,116.5,304.3,12,106.9,141.5,41.2,2.08,2.7,141.6,7.53,29.77,9.56,25,Moderate
Delhi,08-01-2022,98.6,506.1,129.1,104.7,225.9,5.7,9.61,41,145.4,17.72,6.92,7.36,214.9,Very Poor
Mumbai,08-01-2022,182.4,289.6,38.4,6.2,210.7,42.1,4.48,74,78.3,18.51,3.38,9.57,184.4,Moderate
Chennai,08-01-2022,91.4,590.7,85.1,73.5,4.3,7.8,9.58,61.1,46.2,8.06,3.82,8.83,336.2,Moderate
Kolkata,08-01-2022,53.1,405,97.4,87.1,123.3,11.8,4.92,69.2,194.5,10.23,3.8,1.46,38.5,Satisfactory
Bangalore,08-01-2022,93.4,568.9,106.7,132.1,223.1,21.9,4.32,19.9,164.2,7.72,22.85,1.06,410.8,Satisfactory
Delhi,09-01-2022,456.4,72.5,140,146.9,8.9,6.1,6.8,42.2,178.4,4.35,5.76,5.46,384.3,Good
Mumbai,09-01-2022,314.7,404.9,187.3,114.4,79.2,4.6,3.24,37.4,152.6,6.7,5.24,0.68,313.9,Poor
Chennai,09-01-2022,171,123.1,21.6,67.8,173.9,5.1,7.71,40.7,45.4,8.01,24.92,7.35,124.7,Good
Kolkata,09-01-2022,241.6,314.9,57,9.2,90.2,39.4,1.9,39.2,46.7,12.85,1.54,2.35,84.2,Moderate
Bangalore,09-01-2022,207.2,257.6,113,79.5,97.2,38.2,7.14,35.9,54.5,16.75,20.09,8.53,301.3,Poor
Delhi,10-01-2022,355.6,367.4,189.2,113.1,81.3,11.5,7.17,39.7,116.2,4.07,14.23,7.05,359.8,Very Poor
Mumbai,10-01-2022,135.7,234.2,147.1,36.8,2.1,15.2,8.67,27.2,162,12.78,25.32,7.47,102.8,Poor
Chennai,10-01-2022,201.3,236.9,130.3,120,103.1,26.3,8.54,28.3,10.8,12.48,22.28,9.98,53.7,Moderate
Kolkata,10-01-2022,441.3,516.2,55.2,38.3,15.7,26.2,6.34,70.4,171,8.32,7.97,0.6,273.5,Satisfactory
Bangalore,10-01-2022,98.1,8.1,131.8,98.2,191.3,19.5,4.19,17.4,111.2,6.66,15.52,3.54,391.6,Good
Delhi,11-01-2022,301.1,592,73.5,33.3,41.7,48.6,2.58,0.3,133.9,4.22,23.56,7.82,324.8,Good
Mumbai,11-01-2022,262.1,549.4,2.2,132.1,233.3,22.4,3.02,73.9,99.9,11.01,26.47,7.39,308.8,Poor
Chennai,11-01-2022,79.1,405.5,64.2,132.2,151.9,24.4,5.47,23.7,126.4,14.64,27.48,4.3,311.4,Poor
Kolkata,11-01-2022,94.3,290.4,175.2,147.8,94.8,42.2,5.71,3.5,153.6,16.06,3.5,4.47,180.4,Very Poor
Bangalore,11-01-2022,290.8,178.2,29,24.9,182.6,37.7,6.41,71.5,137.2,10.42,14.68,1.15,382.2,Very Poor
Delhi,12-01-2022,332.4,524.5,42.9,19,23.2,31.7,1.42,80.9,55,19.89,13.06,4.72,20.1,Good
Mumbai,12-01-2022,295.5,322.7,134.8,10.1,178.8,41.6,7.4,71.5,46.5,17.87,13.06,9.69,436.9,Very Poor
Chennai,12-01-2022,36.1,375.7,178.2,82.8,128.6,41.9,6.03,56.4,148.7,5.1,28.85,7.54,246.6,Poor
Kolkata,12-01-2022,439.7,512.1,128.1,144.4,92.4,36,0.94,8.1,185.6,3.07,26.04,0.3,1.4,Very Poor
Bangalore,12-01-2022,104.8,358.5,182.7,19.6,197.6,12.1,4.7,54.8,5.5,6.18,21.66,7.13,274.8,Moderate
Delhi,13-01-2022,162.2,87.3,187,146.8,64.2,37.2,4.23,58.2,144.4,16.12,28.81,8.15,436.6,Moderate
Mumbai,13-01-2022,101.1,217.4,171.6,120.5,60.7,19.8,1.94,40.2,121.8,0.47,27.06,8.23,420.2,Severe
Chennai,13-01-2022,296.7,597.4,102.7,109.5,128.6,17.8,6.15,33.4,144.3,0.78,19.32,7.2,154.7,Poor
Kolkata,13-01-2022,305.4,404,82.7,78.1,56,18.9,4.08,44.5,58.6,2.67,3.84,7.72,497.9,Moderate
Bangalore,13-01-2022,356.6,387.7,121.5,142.9,184.1,38.7,3.15,71.7,71.9,14.59,29.72,9.33,492.1,Poor
Delhi,14-01-2022,312.1,318.7,171.3,118.1,38.9,21.8,5.4,86,128.9,2.24,28.66,6.21,162.1,Good
Mumbai,14-01-2022,372.7,38.3,156.6,116.8,25,25.4,2.99,74.3,187.9,8.5,6.18,5.16,159.7,Very Poor
Chennai,14-01-2022,56.8,350.7,155.4,121.1,207.2,49.6,1.15,86.5,156.9,11.05,18.59,1.46,215.6,Moderate
Kolkata,14-01-2022,370.5,168.9,115.9,14.9,145.8,24,3.64,74.5,171.2,19.2,20.22,5.7,431.3,Severe
Bangalore,14-01-2022,80.5,585.9,129.5,45.6,219.8,40.4,9.38,91.3,48,16.06,1.35,2.44,439.3,Good
Delhi,15-01-2022,111.7,311.2,8.5,7.8,85.8,40.5,5.55,26.7,131.4,12.41,18.56,2.68,337.1,Poor
Mumbai,15-01-2022,50.6,431.9,129.4,2.1,173.6,43.9,7.48,28.7,43.9,16.45,29.96,3.95,36.5,Good
Chennai,15-01-2022,220.9,98.3,31,85.2,219.7,46.6,3.85,63.1,108.4,0.69,6.26,4.9,8.6,Poor
Kolkata,15-01-2022,457.4,278,18.4,40.5,191.4,9.8,6.71,94.3,35.4,6.61,20.27,2.83,63.9,Severe
Bangalore,15-01-2022,187.3,426,139.2,76.2,133.2,25.4,3.51,27.5,94.2,3.28,4.39,6.21,143.5,Good
Delhi,16-01-2022,365.2,363.8,9.5,62.7,149.9,39,0.19,97.6,132.6,17.77,7.04,4.54,293.3,Satisfactory
Mumbai,16-01-2022,265.1,90.4,168.3,60.4,96.1,0.7,1.06,64.1,14.9,0.11,20.61,4.56,6.7,Satisfactory
Chennai,16-01-2022,76.8,6.3,68.4,141.3,4,40.4,8.67,45.2,154.1,0.44,27.29,1.79,62.3,Very Poor
Kolkata,16-01-2022,277,200.4,12.9,142.6,3.1,10.8,7.47,89.1,102.5,3.31,10.9,1.27,487,Moderate
Bangalore,16-01-2022,134.3,534.5,85.6,72.1,227.4,11.9,4.94,88,172.7,16.49,13.77,1.93,222.6,Satisfactory
Delhi,17-01-2022,240.9,225.4,80.6,52.2,100.3,11.6,0.02,45,72.4,0.35,20.76,0.77,226.2,Severe
Mumbai,17-01-2022,54.8,387.6,174.1,116.4,190.2,28.7,8.82,28.6,14.4,18.28,21.02,1.93,140.1,Satisfactory
Chennai,17-01-2022,492,164.7,87.4,145.5,105.2,31.2,2.81,9.2,33.8,8.18,1.32,3.76,435.9,Very Poor
Kolkata,17-01-2022,71,558.7,51.4,3.3,228.5,36.5,6.19,16.2,86.3,8.21,9.12,5.86,485.7,Moderate
Bangalore,17-01-2022,151.1,111.9,81.2,102.7,138.4,47.8,6.64,94.6,73,6.8,17.1,5.98,473.2,Satisfactory
Delhi,18-01-2022,193.2,227.3,92.5,89.1,28.8,1.3,0.94,93.3,51.3,5.21,24.09,8.62,35,Moderate
Mumbai,18-01-2022,489,213.7,183.2,77.9,233.3,12.4,1.48,99,194.6,10.81,29.93,4.36,42.9,Severe
Chennai,18-01-2022,70.8,432.5,167.2,56.3,229.8,0.9,5.01,5.2,1.4,11.35,13.91,4.01,205.8,Very Poor
Kolkata,18-01-2022,482.2,171.4,188.6,36,192.8,28.4,7.88,6.4,101.3,6.86,8.99,7.56,294.4,Satisfactory
Bangalore,18-01-2022,320.2,138.1,195.5,15.5,69.5,28.5,9.95,77.3,47.9,16.62,19.79,0.77,71,Very Poor
Delhi,19-01-2022,454.9,405.7,65,33.1,22.2,16.5,3.92,88.7,186.8,0.65,20.11,6.15,309.2,Very Poor
Mumbai,19-01-2022,76.7,453.3,126.6,4.4,205.8,22.1,3.03,6.5,113.1,15.79,9.09,3.05,395.9,Good
Chennai,19-01-2022,10.4,515.4,97.9,118.2,55.5,0.2,0.52,60.7,164.6,13.28,3.24,9.34,140.8,Moderate
Kolkata,19-01-2022,54.3,43.1,6.1,37.2,229.9,36.9,6.2,11.9,85.8,6.3,2.35,3.65,217.7,Satisfactory
Bangalore,19-01-2022,293,390.6,14.1,110.2,217.6,10,4.12,99.3,100.5,19.53,27.05,0.31,428.4,Severe
Delhi,20-01-2022,263.8,193.5,69.6,88.4,141.6,6.3,0.17,1.4,191.2,14.45,24.13,3.08,1.5,Very Poor
Mumbai,20-01-2022,106.8,323.7,20.8,97.1,63.9,22.1,3.49,97,84.9,18.43,10.45,9.13,157,Very Poor
Chennai,20-01-2022,4.2,479.9,60.4,88,71,4.1,6.04,73.7,79.3,10.62,28.33,9.95,425.6,Good
Kolkata,20-01-2022,489.6,502.4,163.4,64,127.2,23.4,1.68,46.1,107.4,15.02,1.53,2.48,277.5,Moderate
Bangalore,20-01-2022,67.3,574.2,157.5,139.7,53.8,8,7.1,46.6,66.2,19.25,14.9,7.95,134,Satisfactory
Delhi,21-01-2022,150.4,408.2,30.1,124.8,123.3,42,7.53,55.4,145.2,10.87,19.79,3.74,72.7,Good
Mumbai,21-01-2022,409.2,412,168.9,144.9,221.9,40.3,3.61,9.6,182.4,1.3,3.81,5.14,242.6,Good
Chennai,21-01-2022,488.6,376.8,155.8,39.6,138.6,42.8,8.91,77.4,84.2,7.97,8.49,3.27,246.8,Satisfactory
Kolkata,21-01-2022,309.1,275.5,38,63.5,159.7,41.9,1.63,36.9,186.4,0.58,27.81,3.91,452.8,Good
Bangalore,21-01-2022,298.7,536.9,113,104.4,12.3,23.3,3.88,30.7,152.6,13.57,6.18,0.51,420.2,Satisfactory
Delhi,22-01-2022,151.7,599,112.9,116,30.1,15.2,1.28,73.1,81.7,14.73,16.21,1.03,386.4,Severe
Mumbai,22-01-2022,482.9,334.3,122.2,126.4,89.2,10.1,7.11,79.6,74.8,11.73,17.85,1.52,209.5,Moderate
Chennai,22-01-2022,203.8,373.6,1.7,142.8,34.8,7.8,1.45,66.8,193.4,19.94,22.75,5.64,201.2,Severe
Kolkata,22-01-2022,315.8,341.2,144.2,2.8,170.9,30.2,0.34,25.8,68.9,18.79,15.25,9.09,155,Good
Bangalore,22-01-2022,187.9,497.4,96.8,41.5,10.3,18.5,3.42,86.4,149.3,3.03,14.18,5.24,229.9,Poor
Delhi,23-01-2022,351.8,18.4,152.5,120.4,80.9,24.3,6.11,74.4,147.4,13.77,1.22,7.44,9.7,Very Poor
Mumbai,23-01-2022,463.4,288.2,33.1,0.1,199.9,3.6,4.23,97.1,130.9,0.04,0.4,0.26,258,Good
Chennai,23-01-2022,420.2,345.1,148,106.4,128.9,37.8,0.18,90,178.6,12.28,20.59,8.81,252.7,Severe
Kolkata,23-01-2022,127.9,478.4,117.8,7.1,120.7,41.1,7.49,51.4,110.3,13.29,5.7,8.13,322.4,Poor
Bangalore,23-01-2022,107.1,335.7,191.4,95.5,115.4,23.4,3.76,95.1,14.7,2.05,19.38,4.28,373.7,Poor
Delhi,24-01-2022,331.9,30.3,29.4,116.8,16.3,11.1,2.39,5.5,23.5,15.39,14.25,3.15,483.9,Satisfactory
Mumbai,24-01-2022,343.4,233.2,13.1,146.9,16.5,7.5,9.2,69.8,98,8.76,5.72,4.81,132.2,Very Poor
Chennai,24-01-2022,421.3,121.4,41.8,77,233.2,2.9,4.86,63.9,93.3,10.85,9.03,4.41,75.9,Poor
Kolkata,24-01-2022,288.8,247.2,5.9,10.7,69.5,14.9,4.97,8.3,168.7,4.69,29.19,3.35,130.9,Severe
Bangalore,24-01-2022,209.9,36.7,86.8,95.4,235.3,31.2,8.52,22.9,137.9,19.24,11.01,5.61,152.7,Very Poor
Delhi,25-01-2022,243.4,56.8,78.9,140.3,101.4,21.2,6.39,60.9,188.3,5.15,29.07,0.02,369.5,Good
Mumbai,25-01-2022,133.9,532.3,13.5,58,99.1,10,7.23,48.7,100.3,4.76,22.75,8.82,490.6,Very Poor
Chennai,25-01-2022,15.6,14.5,50.6,71.9,61.4,49,8.34,74.5,46.6,5.86,9.64,1.57,353.6,Good
Kolkata,25-01-2022,57.3,556.6,29.6,3.5,61.1,37,8.54,46.6,195.3,9.16,7.84,7.94,75.5,Severe
Bangalore,25-01-2022,377.5,10.4,100.5,143.6,160.8,48,3.47,41.3,159.9,9.08,8.64,8.68,283.8,Poor
Delhi,26-01-2022,403.9,583.5,176.5,91.7,180.1,38,9.37,76,65.9,12.81,1.32,6.7,354.6,Moderate
Mumbai,26-01-2022,58.9,251.5,149.7,86.8,98.2,18.8,9.5,48.5,94.9,3.54,6.55,4.38,170.1,Good
Chennai,26-01-2022,62.6,72.3,69.3,93.4,61.9,37.9,2.36,83.4,196.1,5.7,27.01,6.38,53.7,Poor
Kolkata,26-01-2022,107.9,14.5,117.9,45.6,132.7,13.3,9.8,74.8,29.1,12.38,15.72,8.76,228.8,Moderate
Bangalore,26-01-2022,58.5,109.9,112.9,86.2,14.1,44.9,5.67,74.1,185.7,19.46,14.13,5.62,218.2,Moderate
Delhi,27-01-2022,189.5,105.7,78.1,122,192.3,0.4,7.61,42.1,55.6,19.89,24.96,5.4,176.8,Poor
Mumbai,27-01-2022,229.4,281.9,31.8,131.8,138.8,20.9,9.2,57.4,118.7,9.08,7.17,1.38,271.9,Very Poor
Chennai,27-01-2022,448.8,498,126.8,42.1,161.9,36.7,5.83,26.7,151.2,17.28,0.26,7.43,308,Satisfactory
Kolkata,27-01-2022,176.1,223.5,187.4,57,189.3,46,1.73,5.8,34,0.46,22.34,9.44,72.8,Moderate
Bangalore,27-01-2022,140.4,557.5,97,95.5,128.4,11,6.29,48.2,139.6,7.71,11.48,4.64,162.9,Poor
Delhi,28-01-2022,170.1,67.2,141.2,113.4,4.4,27.6,2.9,92.4,122.8,10.21,4.4,6.94,112.1,Severe
Mumbai,28-01-2022,59.2,78.1,76.2,11.6,12.4,2.2,2.87,48.9,150.2,13.85,21.96,3.27,89,Satisfactory
Chennai,28-01-2022,307.6,391.2,122.3,134.3,228.7,47.8,0.9,48.9,122.9,1.03,26.38,8.88,381.5,Good
Kolkata,28-01-2022,253.8,303.7,132.1,111.8,43.7,5,8.46,3,136.5,2.48,25.61,0.93,174.6,Moderate
Bangalore,28-01-2022,433.8,420.5,186.2,139.3,70.1,9.6,0.12,88.9,184.5,4.53,28.74,5.01,259.2,Good
Delhi,29-01-2022,482,470.1,61.2,130.2,70.3,40.5,6.26,21.6,158.2,7.44,18.89,9.14,110.4,Good
Mumbai,29-01-2022,221.8,139.2,143.1,76.9,204.3,48.8,6.26,26.6,153.2,11.54,17.15,2.94,353.1,Very Poor
Chennai,29-01-2022,346.5,148.8,6.9,84,20.8,9.1,2.24,84.8,69,12.91,20.16,4.82,317,Poor
Kolkata,29-01-2022,88.8,499,163.7,128.2,117.8,38.6,2.94,11.5,100.7,0.1,21.81,3.15,416,Good
Bangalore,29-01-2022,58.2,394.1,127.8,23.2,240.5,22.2,4.44,70.9,55.8,13.04,2.88,5.47,379.6,Very Poor
Delhi,30-01-2022,354.8,389.4,1.1,76.6,146.7,30.2,3.55,62.6,199.9,18.98,19.25,0.92,238.9,Moderate
Mumbai,30-01-2022,32.1,282.3,5,20.6,10.1,13.6,1.68,4.6,141.6,16.1,18.51,2.9,367.5,Satisfactory
Chennai,30-01-2022,479,118.4,192.4,15.5,9.2,39.4,5.67,95.4,196.5,11.03,4.1,3.09,220.2,Very Poor
Kolkata,30-01-2022,325.7,499.5,101.7,110.1,246.8,8.4,2.84,42.6,55.5,6.59,4.92,5.99,244.9,Poor
Bangalore,30-01-2022,143.6,212.7,35.8,61.8,163.2,13.4,8.54,87.1,11.3,2.42,2.19,1.11,314.1,Severe
Delhi,31-01-2022,377.8,212.6,129.3,30.7,171.7,47,0.39,39.9,88.1,5.51,19.95,9.84,182.9,Poor
Mumbai,31-01-2022,72.6,32.8,43.7,71.7,20.3,17.7,3.85,91.8,86.1,2.14,25.22,1.63,471.4,Very Poor
Chennai,31-01-2022,267.6,268.2,138,42.8,139.6,2.4,8.01,86.8,171.5,16.27,29.09,5.2,314.8,Satisfactory
Kolkata,31-01-2022,155.6,324.3,187.4,75.7,168.8,38.3,9.37,38.6,58.2,19.59,9.93,6.09,444.2,Satisfactory
Bangalore,31-01-2022,46.6,29.4,0.4,55.9,66,32,6.74,64.1,68.5,15.42,16.8,6.27,168.5,Severe
Delhi,01-02-2022,416.3,288,23.1,127.1,234.1,40.6,6.84,95.5,186.5,18.39,15.79,1.5,336.9,Poor
Mumbai,01-02-2022,122,361.7,10.1,18.4,114.1,20.6,6.69,73.5,198.2,12.43,19.56,3.39,312.8,Satisfactory
Chennai,01-02-2022,95.4,374.6,143.1,135.4,15.6,41.8,7.74,58.9,192.6,16.11,17.86,2.56,465.7,Satisfactory
Kolkata,01-02-2022,28.9,183.8,39.6,57.6,0.7,43,0.29,85.5,154.5,15.74,14.71,6.35,433.1,Poor
Bangalore,01-02-2022,370.9,535.5,106.6,24.5,68.3,44.9,8.55,3,193.3,8.44,15.44,4.67,448.7,Severe
Delhi,02-02-2022,219.1,465.7,92.7,1.8,138.4,27.1,8.27,98.1,21.4,0.87,16.02,9.59,270.9,Moderate
Mumbai,02-02-2022,320.9,257.9,80.7,107.1,144.2,27.5,4.47,20.6,80.4,13.52,6.14,5.04,279.2,Severe
Chennai,02-02-2022,133.3,497.7,63.8,125.6,119.7,37.8,8.93,66.5,7.6,2.61,3.42,6.44,97.6,Poor
Kolkata,02-02-2022,457.3,346.7,85.8,10.5,43.5,19.1,8.29,83.9,9.1,5.4,4.74,8.79,316.5,Poor
Bangalore,02-02-2022,328.8,3.8,198.3,88.5,8.8,14,1.76,91.4,114.8,18.27,20.7,3.79,493.9,Good
Delhi,03-02-2022,209.4,323,163.2,122.9,202.2,18.3,2.05,18.2,54.1,9.49,25.74,0.55,281.3,Very Poor
Mumbai,03-02-2022,458.1,136.5,80.1,55.6,169.1,27.2,1.94,48,18.2,0.16,1.63,9.48,101.2,Poor
Chennai,03-02-2022,95.9,150.8,79.7,128.3,33.3,18.9,6.92,53.8,83,11.41,5.03,8.25,1.9,Satisfactory
Kolkata,03-02-2022,33.1,35.1,101.5,16.1,180.7,39.5,6.75,96.8,23.6,11.97,26.61,9,262.5,Poor
Bangalore,03-02-2022,102.9,129.4,37.7,8.8,70,13.4,0.75,21.6,186.2,14.35,19.06,2.26,455.6,Very Poor
Delhi,04-02-2022,342.1,345,86.4,118.2,139.4,15.6,1.48,87.5,118.4,4.25,22.45,9.26,418.5,Severe
Mumbai,04-02-2022,383.8,337.4,137.4,91.9,75.6,28.3,1.82,43.4,116.4,2.46,14.41,5.14,495.3,Good
Chennai,04-02-2022,182.4,585.1,164.3,91.9,144.6,16.8,5.72,42.7,72.7,15.99,22.15,3.83,138.5,Poor
Kolkata,04-02-2022,486.5,368.7,124.7,85.6,74.5,29.5,3.53,14.3,35.9,4.84,15.33,3.11,58,Very Poor
Bangalore,04-02-2022,152.5,29.4,35.1,117,9.9,35.7,7.53,32.6,109.8,5.61,13.4,8.6,465.1,Good
Delhi,05-02-2022,76.5,589.3,97.7,51.3,213.4,41.2,8.72,21.8,159.1,0.14,27.41,7.69,469.1,Good
Mumbai,05-02-2022,185.2,137.8,141.7,120.9,82.6,26.7,8.24,86.9,128.3,16.79,11.05,2.67,124.8,Very Poor
Chennai,05-02-2022,116.4,300,28.7,30.9,184.2,23.5,3.68,23,103.4,19.2,20.8,4.56,46.2,Severe
Kolkata,05-02-2022,144.1,27.6,32.9,81.9,27.1,41.8,9.22,81.6,175.1,14.51,25.53,6.18,494.8,Severe
Bangalore,05-02-2022,436.2,265.4,16.7,120.6,245.5,8.3,8.91,7.8,49,13.37,6.61,2.21,285.6,Severe
Delhi,06-02-2022,212.3,356.6,1.2,1.7,186.9,37.4,9.81,36.4,92.8,6.66,13.68,8.97,402.9,Severe
Mumbai,06-02-2022,469.3,136,67.2,89.1,32.5,5.8,5.48,8.7,110.4,14.01,7.76,3.1,157.4,Moderate
Chennai,06-02-2022,141.4,216.3,196.5,66.5,182.5,45.5,9.49,13.9,180.2,16.92,13.89,1.45,243.2,Satisfactory
Kolkata,06-02-2022,65.1,192.7,77.6,98.9,17.8,8.9,2.87,78,107.8,2.11,1.85,5.76,448.3,Good
Bangalore,06-02-2022,384.7,233.1,114.8,102.1,214.5,20.4,4.21,80.7,57.4,13.62,11.78,8.01,354.7,Moderate
Delhi,07-02-2022,477.7,46.8,77.5,25.7,10.4,22.4,1.26,58,193.4,7.42,1.35,4.52,13.4,Very Poor
Mumbai,07-02-2022,310.8,340.6,1.5,128,126.2,2.3,6.83,79.2,85.8,18.24,5.04,0.66,18.3,Severe
Chennai,07-02-2022,265.7,275.8,132.2,117.1,248.1,17,9.42,19.1,102,1.02,20.54,8.11,238.5,Satisfactory
Kolkata,07-02-2022,221.8,364.1,145.8,15.2,74.6,35.6,0.65,51.7,161.1,11.65,0.15,2.01,7.8,Satisfactory
Bangalore,07-02-2022,435.7,10.6,115.5,110.3,139.1,39.5,0.68,66.8,149.1,19.45,2.96,3.53,201.7,Severe
Delhi,08-02-2022,257.8,235.8,106.9,48.1,72.6,42,4.42,63.1,118.4,3.41,18.44,8.66,126.1,Good
Mumbai,08-02-2022,282.9,77.8,177.1,35.3,31.4,5,0.87,59.7,69.1,1.83,7.87,3.28,319.5,Satisfactory
Chennai,08-02-2022,340,389.1,8.1,138.2,203.3,26,1.72,3.7,100.7,1.01,9.59,7.38,128.9,Good
Kolkata,08-02-2022,248,242.1,198.2,68.3,189.9,41.5,1.02,45.5,120.9,1.7,7.05,8.62,480.2,Very Poor
Bangalore,08-02-2022,87.3,418.5,30.1,137.3,50.3,10,9.66,71.5,122.9,16.74,17.53,6,369.4,Moderate
Delhi,09-02-2022,348.7,132.6,192.1,139.6,228.9,1.6,5.94,56.1,76.5,11.65,13.91,3.8,285.6,Moderate
Mumbai,09-02-2022,479.2,306.9,149.5,121.3,90.7,4.5,3.38,79.4,129.6,16.09,3.17,4.4,256.3,Satisfactory
Chennai,09-02-2022,3.4,263.9,86.9,143,248.6,19.6,6.24,56,81.1,1.55,18.17,1.44,278.1,Satisfactory
Kolkata,09-02-2022,309.4,127.6,131.8,45.4,203.3,26.1,8.96,0.6,9.7,10.21,5.26,9.97,430,Good
Bangalore,09-02-2022,142.4,351.7,147.6,36.2,114.4,44.1,2.9,80.1,183.8,7.57,27.46,5.77,457.1,Good
Delhi,10-02-2022,388.3,199.2,13,43.6,166.9,45.1,0.6,80.5,85.5,15.69,2.17,0.71,34.9,Moderate
Mumbai,10-02-2022,158.5,187.8,71.9,119.6,132.7,15.9,9.93,43.5,82.6,15.57,26.68,4.52,208.2,Moderate
Chennai,10-02-2022,406,221.9,151.4,84.3,69.2,38.5,3.78,0.4,61.7,17.26,9.58,8.73,52.3,Satisfactory
Kolkata,10-02-2022,407.8,585.5,108.4,78.7,12.4,46.8,8.71,61.4,10.5,9.2,22.9,3.07,265.1,Satisfactory
